d,o,h,l,c
1685382660.0,27670.0,27676.0,27670.0,27676.0
1685382720.0,27680.0,27680.0,27680.0,27680.0
1685382780.0,27683.0,27703.0,27683.0,27700.0
1685382840.0,27704.0,27734.0,27703.0,27732.0
1685382900.0,27731.0,27731.0,27700.0,27700.0
1685382960.0,27696.0,27699.0,27686.0,27698.0
1685383020.0,27707.0,27714.0,27698.0,27708.0
1685383080.0,27703.0,27708.0,27699.0,27699.0
1685383140.0,27695.0,27704.0,27695.0,27704.0
1685383200.0,27698.0,27698.0,27688.0,27688.0
1685383260.0,27689.0,27703.0,27689.0,27701.0
1685383320.0,27695.0,27695.0,27690.0,27690.0
1685383380.0,27691.0,27691.0,27686.0,27686.0
1685383440.0,27684.0,27685.0,27684.0,27685.0
1685383500.0,27686.0,27698.0,27686.0,27697.0
1685383560.0,27696.0,27699.0,27696.0,27699.0
1685383620.0,27688.0,27697.0,27687.0,27697.0
1685383680.0,27701.0,27702.0,27698.0,27701.0
1685383740.0,27698.0,27710.0,27698.0,27707.0
1685383800.0,27702.0,27702.0,27692.0,27692.0
1685383860.0,27696.0,27710.0,27696.0,27710.0
1685383920.0,27710.0,27715.0,27710.0,27714.0
1685383980.0,27714.0,27716.0,27713.0,27713.0
1685384040.0,27713.0,27715.0,27713.0,27714.0
1685384100.0,27712.0,27713.0,27707.0,27712.0
1685384160.0,27711.0,27713.0,27711.0,27711.0
1685384220.0,27711.0,27719.0,27711.0,27713.0
1685384280.0,27718.0,27719.0,27718.0,27719.0
1685384340.0,27721.0,27721.0,27711.0,27712.0
1685384400.0,27713.0,27717.0,27709.0,27717.0
1685384460.0,27718.0,27718.0,27718.0,27718.0
1685384520.0,27720.0,27720.0,27717.0,27717.0
1685384580.0,27715.0,27715.0,27712.0,27713.0
1685384640.0,27712.0,27712.0,27711.0,27711.0
1685384760.0,27710.0,27717.0,27707.0,27707.0
1685384820.0,27703.0,27706.0,27702.0,27706.0
1685384880.0,27710.0,27715.0,27710.0,27713.0
1685384940.0,27713.0,27713.0,27711.0,27711.0
1685385000.0,27708.0,27708.0,27700.0,27701.0
1685385060.0,27700.0,27700.0,27684.0,27684.0
1685385120.0,27681.0,27691.0,27678.0,27688.0
1685385180.0,27689.0,27704.0,27689.0,27704.0
1685385240.0,27696.0,27696.0,27690.0,27690.0
1685385300.0,27689.0,27690.0,27688.0,27688.0
1685385360.0,27687.0,27689.0,27686.0,27689.0
1685385420.0,27686.0,27686.0,27684.0,27685.0
1685385480.0,27685.0,27685.0,27682.0,27682.0
1685385540.0,27682.0,27685.0,27682.0,27685.0
1685385600.0,27683.0,27683.0,27683.0,27683.0
1685385660.0,27683.0,27684.0,27682.0,27684.0
1685385720.0,27684.0,27684.0,27684.0,27684.0
1685385780.0,27684.0,27684.0,27676.0,27676.0
1685385840.0,27678.0,27678.0,27670.0,27671.0
1685385900.0,27670.0,27670.0,27653.0,27660.0
1685385960.0,27654.0,27654.0,27654.0,27654.0
1685386020.0,27654.0,27654.0,27647.0,27647.0
1685386080.0,27653.0,27653.0,27650.0,27650.0
1685386140.0,27649.0,27649.0,27649.0,27649.0
1685386200.0,27649.0,27649.0,27628.0,27637.0
1685386260.0,27637.0,27637.0,27634.0,27634.0
1685386320.0,27634.0,27640.0,27634.0,27640.0
1685386380.0,27642.0,27642.0,27642.0,27642.0
1685386500.0,27641.0,27641.0,27639.0,27639.0
1685386560.0,27631.0,27641.0,27631.0,27641.0
1685386620.0,27641.0,27641.0,27640.0,27640.0
1685386680.0,27640.0,27642.0,27640.0,27642.0
1685386740.0,27641.0,27651.0,27641.0,27651.0
1685386800.0,27643.0,27646.0,27643.0,27646.0
1685386860.0,27647.0,27651.0,27647.0,27651.0
1685386920.0,27652.0,27652.0,27650.0,27650.0
1685386980.0,27652.0,27658.0,27652.0,27658.0
1685387040.0,27658.0,27658.0,27658.0,27658.0
1685387100.0,27658.0,27661.0,27656.0,27661.0
1685387160.0,27663.0,27666.0,27663.0,27666.0
1685387220.0,27668.0,27670.0,27668.0,27670.0
1685387280.0,27671.0,27671.0,27652.0,27654.0
1685387340.0,27655.0,27660.0,27655.0,27660.0
1685387400.0,27656.0,27662.0,27656.0,27659.0
1685387460.0,27670.0,27674.0,27670.0,27674.0
1685387520.0,27670.0,27675.0,27670.0,27675.0
1685387580.0,27678.0,27678.0,27678.0,27678.0
1685387700.0,27679.0,27679.0,27669.0,27674.0
1685387760.0,27677.0,27677.0,27677.0,27677.0
1685387880.0,27680.0,27681.0,27680.0,27681.0
1685387940.0,27683.0,27683.0,27683.0,27683.0
1685388060.0,27680.0,27682.0,27680.0,27682.0
1685388120.0,27682.0,27682.0,27680.0,27682.0
1685388180.0,27681.0,27683.0,27681.0,27683.0
1685388240.0,27683.0,27691.0,27683.0,27684.0
1685388300.0,27679.0,27686.0,27679.0,27686.0
1685388360.0,27689.0,27689.0,27688.0,27688.0
1685388420.0,27688.0,27688.0,27688.0,27688.0
1685388480.0,27688.0,27690.0,27688.0,27690.0
1685388540.0,27691.0,27693.0,27691.0,27691.0
1685388600.0,27693.0,27693.0,27684.0,27692.0
1685388660.0,27692.0,27700.0,27692.0,27696.0
1685388720.0,27691.0,27695.0,27689.0,27694.0
1685388780.0,27692.0,27692.0,27691.0,27691.0
1685388840.0,27693.0,27693.0,27693.0,27693.0
1685388960.0,27682.0,27682.0,27682.0,27682.0
1685389020.0,27682.0,27682.0,27682.0,27682.0
1685389080.0,27681.0,27681.0,27681.0,27681.0
1685389140.0,27679.0,27679.0,27678.0,27678.0
1685389200.0,27678.0,27679.0,27678.0,27679.0
1685389260.0,27679.0,27679.0,27679.0,27679.0
1685389320.0,27683.0,27683.0,27683.0,27683.0
1685389380.0,27675.0,27681.0,27674.0,27681.0
1685389440.0,27682.0,27682.0,27680.0,27680.0
1685389500.0,27689.0,27691.0,27689.0,27691.0
1685389560.0,27688.0,27694.0,27688.0,27694.0
1685389620.0,27695.0,27696.0,27695.0,27696.0
